Timestamp,Elapsed_Seconds,Mean_Latency_Ms,P95_Latency_Ms,P99_Latency_Ms,Throughput_RPS,Success_Rate_Percent,Request_Count
2025-07-06T23:07:20+07:00,0.02,15.81,15.81,15.81,1.00,100.00,1
2025-07-06T23:07:20+07:00,0.04,23.35,30.88,30.88,53.52,100.00,2
2025-07-06T23:07:20+07:00,0.05,25.43,30.88,30.88,70.49,100.00,3
2025-07-06T23:07:20+07:00,0.05,24.73,30.88,30.88,93.94,100.00,4
2025-07-06T23:07:20+07:00,0.05,23.16,30.88,30.88,113.66,100.00,5
2025-07-06T23:07:20+07:00,0.06,22.70,30.88,30.88,111.42,100.00,6
2025-07-06T23:07:20+07:00,0.07,22.09,30.88,30.88,118.73,100.00,7
2025-07-06T23:07:20+07:00,0.08,22.16,30.88,30.88,114.77,100.00,8
2025-07-06T23:07:20+07:00,0.08,22.09,30.88,30.88,120.13,100.00,9
2025-07-06T23:07:20+07:00,0.08,21.38,30.88,30.88,133.43,100.00,10
2025-07-06T23:07:20+07:00,0.09,21.17,30.82,30.88,127.45,100.00,11
2025-07-06T23:07:20+07:00,0.10,20.99,30.75,30.88,129.11,100.00,12
2025-07-06T23:07:20+07:00,0.11,21.09,30.69,30.88,127.00,100.00,13
2025-07-06T23:07:20+07:00,0.12,21.20,30.62,30.88,128.56,100.00,14
2025-07-06T23:07:20+07:00,0.13,21.09,30.56,30.88,125.41,100.00,15
2025-07-06T23:07:20+07:00,0.14,21.57,30.50,30.88,118.32,100.00,16
2025-07-06T23:07:20+07:00,0.14,22.78,38.29,42.28,125.71,100.00,17
2025-07-06T23:07:20+07:00,0.14,22.76,37.72,42.28,133.00,100.00,18
2025-07-06T23:07:20+07:00,0.15,22.66,37.15,42.28,135.17,100.00,19
2025-07-06T23:07:20+07:00,0.16,23.01,36.58,42.28,127.99,100.00,20
2025-07-06T23:07:20+07:00,0.17,22.98,36.01,42.28,128.84,100.00,21
2025-07-06T23:07:20+07:00,0.17,22.68,35.44,42.28,134.97,100.00,22
2025-07-06T23:07:20+07:00,0.18,22.77,34.87,42.28,129.40,100.00,23
2025-07-06T23:07:20+07:00,0.19,23.97,45.04,51.48,130.18,100.00,24
2025-07-06T23:07:20+07:00,0.19,23.97,44.58,51.48,135.59,100.00,25
2025-07-06T23:07:20+07:00,0.20,23.97,44.12,51.48,136.06,100.00,26
2025-07-06T23:07:20+07:00,0.21,24.13,43.66,51.48,133.89,100.00,27
2025-07-06T23:07:20+07:00,0.21,24.24,43.20,51.48,135.21,100.00,28
2025-07-06T23:07:20+07:00,0.21,24.12,42.74,51.48,139.93,100.00,29
2025-07-06T23:07:20+07:00,0.22,24.12,42.28,51.48,137.96,100.00,30
2025-07-06T23:07:20+07:00,0.23,24.12,41.71,51.48,138.16,100.00,31
2025-07-06T23:07:20+07:00,0.24,24.21,41.14,51.48,136.90,100.00,32
2025-07-06T23:07:20+07:00,0.24,24.09,40.57,51.48,141.14,100.00,33
2025-07-06T23:07:20+07:00,0.25,23.92,40.00,51.48,138.91,100.00,34
2025-07-06T23:07:20+07:00,0.25,23.96,39.43,51.48,142.98,100.00,35
2025-07-06T23:07:20+07:00,0.26,23.75,38.86,51.48,143.92,100.00,36
2025-07-06T23:07:20+07:00,0.28,23.96,38.52,51.48,136.29,100.00,37
2025-07-06T23:07:20+07:00,0.28,23.95,37.98,51.48,137.12,100.00,38
2025-07-06T23:07:20+07:00,0.30,24.05,37.44,51.48,132.37,100.00,39
2025-07-06T23:07:20+07:00,0.30,24.33,38.72,51.48,135.75,100.00,40
2025-07-06T23:07:20+07:00,0.31,24.56,38.36,51.48,133.36,100.00,41
2025-07-06T23:07:20+07:00,0.31,24.62,38.01,51.48,136.59,100.00,42
2025-07-06T23:07:20+07:00,0.31,25.46,45.50,60.62,139.83,100.00,43
2025-07-06T23:07:20+07:00,0.32,25.58,45.04,60.62,138.73,100.00,44
2025-07-06T23:07:20+07:00,0.32,25.54,44.58,60.62,141.87,100.00,45
2025-07-06T23:07:20+07:00,0.33,25.54,44.12,60.62,141.43,100.00,46
2025-07-06T23:07:20+07:00,0.33,25.43,43.66,60.62,143.50,100.00,47
2025-07-06T23:07:20+07:00,0.35,25.41,43.20,60.62,141.99,100.00,48
2025-07-06T23:07:20+07:00,0.35,25.39,42.74,60.62,142.10,100.00,49
2025-07-06T23:07:20+07:00,0.36,25.39,42.28,60.62,142.09,100.00,50
2025-07-06T23:07:20+07:00,0.37,25.38,41.92,60.52,142.23,100.00,51
2025-07-06T23:07:20+07:00,0.38,25.32,41.56,60.43,140.90,100.00,52
2025-07-06T23:07:20+07:00,0.38,25.39,41.21,60.34,143.59,100.00,53
2025-07-06T23:07:20+07:00,0.38,25.32,40.85,60.25,144.05,100.00,54
2025-07-06T23:07:20+07:00,0.39,25.26,40.50,60.16,144.18,100.00,55
2025-07-06T23:07:20+07:00,0.40,25.19,40.14,60.07,144.22,100.00,56
2025-07-06T23:07:20+07:00,0.40,25.11,39.78,59.98,144.63,100.00,57
2025-07-06T23:07:20+07:00,0.41,25.02,39.43,59.89,145.08,100.00,58
2025-07-06T23:07:20+07:00,0.42,25.00,39.07,59.79,143.75,100.00,59
2025-07-06T23:07:20+07:00,0.42,24.97,38.72,59.70,144.08,100.00,60
2025-07-06T23:07:20+07:00,0.43,24.92,38.36,59.61,144.61,100.00,61
2025-07-06T23:07:20+07:00,0.45,24.93,38.01,59.52,141.07,100.00,62
2025-07-06T23:07:20+07:00,0.46,25.01,37.65,59.43,140.30,100.00,63
2025-07-06T23:07:20+07:00,0.46,25.27,42.16,59.34,142.52,100.00,64
2025-07-06T23:07:20+07:00,0.46,25.23,42.15,59.25,144.73,100.00,65
2025-07-06T23:07:20+07:00,0.46,25.19,42.14,59.15,144.77,100.00,66
2025-07-06T23:07:20+07:00,0.47,25.12,42.13,59.06,145.25,100.00,67
2025-07-06T23:07:20+07:00,0.47,25.04,42.13,58.97,145.70,100.00,68
2025-07-06T23:07:20+07:00,0.48,24.87,42.12,58.88,145.75,100.00,69
2025-07-06T23:07:20+07:00,0.48,24.81,42.11,58.79,147.85,100.00,70
2025-07-06T23:07:20+07:00,0.49,24.63,41.76,58.70,148.21,100.00,71
2025-07-06T23:07:20+07:00,0.50,24.53,41.41,58.61,146.93,100.00,72
2025-07-06T23:07:20+07:00,0.51,24.48,41.07,58.52,145.70,100.00,73
2025-07-06T23:07:20+07:00,0.52,24.44,40.72,58.42,145.70,100.00,74
2025-07-06T23:07:20+07:00,0.52,24.40,40.37,58.33,145.70,100.00,75
2025-07-06T23:07:20+07:00,0.54,24.47,40.02,58.24,143.39,100.00,76
2025-07-06T23:07:21+07:00,0.54,24.44,39.68,58.15,143.79,100.00,77
2025-07-06T23:07:21+07:00,0.54,24.50,39.33,58.06,145.65,100.00,78
2025-07-06T23:07:21+07:00,0.55,24.40,38.98,57.97,145.44,100.00,79
2025-07-06T23:07:21+07:00,0.62,24.97,42.19,67.53,131.12,100.00,80
2025-07-06T23:07:21+07:00,0.62,25.78,46.42,84.23,132.72,100.00,81
2025-07-06T23:07:21+07:00,0.62,26.25,55.14,84.03,134.31,100.00,82
2025-07-06T23:07:21+07:00,0.62,26.89,61.83,86.73,135.53,100.00,83
2025-07-06T23:07:21+07:00,0.64,27.07,61.66,86.62,133.59,100.00,84
2025-07-06T23:07:21+07:00,0.72,27.91,65.69,95.97,119.30,100.00,85
2025-07-06T23:07:21+07:00,0.72,29.21,72.25,124.94,120.69,100.00,86
2025-07-06T23:07:21+07:00,0.72,30.70,80.95,151.81,122.07,100.00,87
2025-07-06T23:07:21+07:00,0.72,31.86,91.26,151.61,123.47,100.00,88
2025-07-06T23:07:21+07:00,0.72,32.69,99.33,151.42,124.83,100.00,89
2025-07-06T23:07:21+07:00,0.72,33.59,106.21,151.22,126.15,100.00,90
2025-07-06T23:07:21+07:00,0.72,34.54,112.70,151.03,127.52,100.00,91
2025-07-06T23:07:21+07:00,0.72,35.85,119.76,157.37,128.69,100.00,92
2025-07-06T23:07:21+07:00,0.72,37.07,130.53,157.34,129.94,100.00,93
2025-07-06T23:07:21+07:00,0.74,37.84,129.94,157.30,128.96,100.00,94
2025-07-06T23:07:21+07:00,0.74,38.01,129.35,157.26,129.40,100.00,95
2025-07-06T23:07:21+07:00,0.74,37.90,128.76,157.22,130.75,100.00,96
2025-07-06T23:07:21+07:00,0.74,38.48,128.17,157.18,132.07,100.00,97
2025-07-06T23:07:21+07:00,0.74,38.58,127.58,157.14,133.37,100.00,98
2025-07-06T23:07:21+07:00,0.74,38.61,126.99,157.10,134.70,100.00,99
2025-07-06T23:07:21+07:00,0.75,38.60,126.40,157.06,135.51,100.00,100
2025-07-06T23:07:21+07:00,0.75,39.32,125.81,157.02,136.84,100.00,101
2025-07-06T23:07:21+07:00,0.82,40.67,135.19,167.63,125.93,100.00,102
2025-07-06T23:07:21+07:00,0.82,41.15,134.83,167.45,127.13,100.00,103
2025-07-06T23:07:21+07:00,0.82,42.20,142.53,167.27,128.32,100.00,104
2025-07-06T23:07:21+07:00,0.82,43.36,149.68,170.02,129.52,100.00,105
2025-07-06T23:07:21+07:00,0.82,44.32,149.65,169.90,130.66,100.00,106
2025-07-06T23:07:21+07:00,0.84,45.35,150.93,169.77,129.22,100.00,107
2025-07-06T23:07:21+07:00,0.84,45.43,150.69,169.64,129.60,100.00,108
2025-07-06T23:07:21+07:00,0.84,45.81,150.45,169.52,130.78,100.00,109
2025-07-06T23:07:21+07:00,0.84,46.36,150.22,169.39,131.97,100.00,110
2025-07-06T23:07:21+07:00,0.84,46.61,150.18,169.26,133.13,100.00,111
2025-07-06T23:07:21+07:00,0.84,47.09,150.14,169.14,134.31,100.00,112
2025-07-06T23:07:21+07:00,0.84,47.75,150.11,169.01,135.46,100.00,113
2025-07-06T23:07:21+07:00,0.84,47.77,150.07,168.88,136.34,100.00,114
2025-07-06T23:07:21+07:00,0.84,48.94,153.80,178.91,137.50,100.00,115
2025-07-06T23:07:21+07:00,0.86,49.18,153.56,178.85,136.57,100.00,116
2025-07-06T23:07:21+07:00,0.87,49.21,153.32,178.79,136.06,100.00,117
2025-07-06T23:07:21+07:00,0.87,49.81,153.08,178.74,137.21,100.00,118
