Timestamp,Elapsed_Seconds,Mean_Latency_Ms,P95_Latency_Ms,P99_Latency_Ms,Throughput_RPS,Success_Rate_Percent,Request_Count
2025-07-05T01:26:14+07:00,5.02,18.12,23.20,24.01,10.16,100.00,50
2025-07-05T01:26:19+07:00,10.11,17.95,23.13,23.80,10.09,100.00,101
2025-07-05T01:26:24+07:00,15.22,17.77,23.06,24.01,10.05,100.00,152
2025-07-05T01:26:29+07:00,20.31,17.61,22.96,24.16,10.04,100.00,203
2025-07-05T01:26:34+07:00,25.32,17.50,22.11,24.09,10.03,100.00,253
2025-07-05T01:26:39+07:00,30.32,17.95,23.12,24.68,10.03,100.00,303
2025-07-05T01:26:44+07:00,35.42,17.97,23.19,25.01,10.02,100.00,354
2025-07-05T01:26:50+07:00,40.52,17.84,23.03,24.67,10.02,100.00,405
2025-07-05T01:26:55+07:00,45.62,17.76,22.57,24.36,10.02,100.00,456
2025-07-05T01:27:00+07:00,50.62,17.82,22.78,24.63,10.02,100.00,506
2025-07-05T01:27:05+07:00,55.72,18.02,23.44,25.04,10.01,100.00,557
2025-07-05T01:27:09+07:00,60.02,17.94,23.43,25.13,10.01,100.00,600
