Timestamp,Elapsed_Seconds,Mean_Latency_Ms,P95_Latency_Ms,P99_Latency_Ms,Throughput_RPS,Success_Rate_Percent,Request_Count
2025-07-05T15:14:00+07:00,5.00,23.98,31.13,39.61,99.76,100.00,498
2025-07-05T15:14:05+07:00,10.01,24.19,31.64,38.31,99.94,100.00,999
2025-07-05T15:14:10+07:00,15.01,24.39,31.84,38.23,99.89,100.00,1498
2025-07-05T15:14:15+07:00,20.02,24.45,31.80,41.90,99.92,100.00,1999
2025-07-05T15:14:20+07:00,25.02,24.29,31.47,39.07,99.92,100.00,2499
2025-07-05T15:14:25+07:00,30.03,24.19,31.42,38.44,99.95,100.00,3000
2025-07-05T15:14:30+07:00,35.04,24.15,31.31,37.88,99.94,100.00,3501
2025-07-05T15:14:35+07:00,40.05,24.13,31.38,38.56,99.98,100.00,4003
2025-07-05T15:14:40+07:00,45.06,24.15,31.39,37.91,99.96,100.00,4503
2025-07-05T15:14:45+07:00,50.07,24.21,31.48,39.07,99.97,100.00,5004
2025-07-05T15:14:50+07:00,55.07,24.25,31.57,39.55,99.97,100.00,5504
2025-07-05T15:14:55+07:00,60.02,24.22,31.51,39.29,99.98,100.00,6000
