Timestamp,Elapsed_Seconds,Mean_Latency_Ms,P95_Latency_Ms,P99_Latency_Ms,Throughput_RPS,Success_Rate_Percent,Request_Count
2025-07-05T15:12:56+07:00,5.00,17.91,22.82,25.72,49.98,100.00,249
2025-07-05T15:13:01+07:00,10.02,17.81,22.34,24.71,50.02,100.00,500
2025-07-05T15:13:06+07:00,15.02,17.91,22.39,24.76,50.01,100.00,750
2025-07-05T15:13:11+07:00,20.02,17.94,22.41,25.11,50.00,100.00,1000
2025-07-05T15:13:16+07:00,25.03,17.85,22.29,24.53,50.01,100.00,1251
2025-07-05T15:13:21+07:00,30.04,17.95,22.41,24.67,50.00,100.00,1501
2025-07-05T15:13:26+07:00,35.06,17.93,22.49,24.96,50.00,100.00,1752
2025-07-05T15:13:31+07:00,40.08,17.95,22.55,25.68,50.00,100.00,2003
2025-07-05T15:13:36+07:00,45.10,17.99,22.58,25.65,50.00,100.00,2254
2025-07-05T15:13:41+07:00,50.10,18.05,22.66,25.70,50.00,100.00,2504
2025-07-05T15:13:46+07:00,55.12,18.03,22.61,25.49,50.00,100.00,2755
2025-07-05T15:13:51+07:00,60.02,18.06,22.72,25.60,50.00,100.00,3000
